"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","330uF","","","","Capacitor_SMD:CP_Elec_10x12.5",""
"C2,C3","2","100uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C17,C18","3","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C7,C8","3","33P","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9,C10,C11,C12,C14,C15","6","NC","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13,C19,C20,C21","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16","1","104","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D3,D4","3","ESD9B3.3ST5G","","","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"D2","1","1N5819WS","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"D5,D7","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D6,D8","2","BAT60A","","","","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9"
"J1","1","JST_2mm_LiPo","","","","Connector_TE-Connectivity:TE_440054-2_1x02_P2.00mm_Vertical","~"
"J2","1","Conn_01x05_Socket","","","","Connector_Molex:Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical","~"
"L1","1","47nH","","","","Inductor_SMD:L_0805_2012Metric","~"
"P1","1","USB_C_Plug_USB2.0","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1","1","0","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3","2","2k2","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R9","2","R_US","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7,R8,R10,R11,R12","6","22R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"TP1","1","VBUS","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP2","1","VUSB","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP3","1","Test_point","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","SIM7600x","","","","SIM7600G:IC_SIM7600G",""
"U2","1","MCP73831-2-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"U3","1","SMN-303","","","","SMN-303:SIM-SMD_SMN-303",""
"U4","1","SMF05C","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"U5,U6","2","GSM_ANT","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"U7","1","GNSS_ANT","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"U8","1","SGM2212-3.3","","","","Package_TO_SOT_SMD:SOT-223",""
"U9","1","ESP32-S3-WROOM-1-N8R8","","","","ESP32-S3-WROOM-1-N8R8:XCVR_ESP32S3WROOM1N8R8",""
